C. elegans 0-fold degenerate 	2796196
C. elegans 2-fold degenerate 	1258774
C. elegans 4-fold degenerate 	682420
C. elegans all sites 	14169403
C. elegans exon 	5996363
C. elegans first codon position 	1600335
C. elegans genic 	9552375
C. elegans inron 	3953061
C. elegans intergenic 	4617028
C. elegans invariant sites 	14050241
C. elegans second codon position 	1600607
C. elegans third codon position 	1599575
C. elegans variant sites 	119164
C. inopinata 0-fold degenerate 	748623
C. inopinata 2-fold degenerate 	345256
C. inopinata 4-fold degenerate 	181000
C. inopinata all sites 	4835448
C. inopinata exon 	1347999
C. inopinata first codon position 	446617
C. inopinata genic 	2839815
C. inopinata intergenic 	1995633
C. inopinata intron 	1491816
C. inopinata invariant sites 	4617069
C. inopinata second codon position 	447610
C. inopinata third codon position 	441638
C. inopinata variant sites 	218388
